id;ativo;codigo_ibge;nome;sigla
1;29719;64145;array Rodovia;Travessa
2;41232;36167;contextually-based envisioneer;prata
3;92655;32508;cenoura;RSS mesh Borders
4;20368;87541;customer Universal Data;Salvador
5;38928;97944;Travessa;web-enabled
6;82257;92468;Decentralized synthesize;strategy Roraima
7;55877;21480;Madeira reboot;deposit Investor
8;24379;67676;Tactics cross-platform generate;Data copying
9;18410;24952;Marginal payment;Liberian
10;30841;73533;Adaptive Áustria Berkshire;Fresco real-time input
