id;arigo;ativo;codigo;data_exclusao;dispositivo;glossario;nome;observacao;pai_id;tipo;usuario_exclusao_id
1;Jardim Global;false;42008;2022-08-29;Macio Home;Rústico;repurpose deposit;SQL;78911;mobile pricing;70320
2;withdrawal;false;6131;2022-08-29;bordô Fantástico models;Impressionante mobile Dynamic;Dollar Carro e-business;Cadeira Directives Granito;55674;bricks-and-clicks;87427
3;Burkina bypass virtual;false;55212;2022-08-29;bypassing Berkshire;calculate Buckinghamshire e-business;Brand;Frango programming Right-sized;96154;Concreto Borracha Personal;35091
4;Human Consultant Lustroso;true;39608;2022-08-29;Global;Principal verde-azulado Business-focused;Salsicha CFP Ergonômico;Computador Cambridgeshire;59375;Peso ferrugem Alameda;4663
5;context-sensitive;true;23740;2022-08-30;Facilitator Grosso;Marginal Minas Casa;invoice índigo CSS;Paulo Santo;12100;Human;66276
6;bypassing one-to-one Cambridgeshire;true;37551;2022-08-30;COM Berkshire parse;granular Santa Liaison;Avon;Internal;58014;deposit Granito Facilitator;9569
7;Jersey Genérico;false;21934;2022-08-29;Pequeno Accountability;encoding Loan Rondônia;PCI Amapá Avon;Security JBOD;78789;open-source model São;14521
8;virtual indexing Account;true;61291;2022-08-29;Marginal microchip;PCI;Congelado withdrawal intangible;hack Aço;84199;Congelado Communications;5014
9;Boliviano Mouse;true;60742;2022-08-29;ROI;CSS Papua-Nova;Travessa;Mouse;25181;transmit grid-enabled Avon;94314
10;TCP;true;36579;2022-08-29;leading-edge proactive;calculating Pará calculate;Administrator initiatives;flexibility;18219;açafrão;68010
