id;ativo;atual;bairro;cep;complemento;data_exclusao;usuario_exclusao_id
1;82195;false;Pequeno methodologies Sabonete;Alameda Travessa solution;e-markets Buckinghamshire superstructure;2022-08-29;17119
2;1465;false;withdrawal;Integration Avenida SQL;dot-com quantify;2022-08-29;61473
3;8467;false;quantifying Response;Benin;B2C repurpose circuit;2022-08-29;16905
4;81652;false;calculate;Refinado Inteligente;laranja;2022-08-30;75498
5;8572;false;wireless petróleo Rio;amarelo;motivating Vatu copy;2022-08-29;62568
6;37384;false;Lindo copying Mesa;Centralized Gostoso;invoice Agent;2022-08-29;46642
7;86622;false;marrom Technician logistical;Loan;Saúde Croácia Front-line;2022-08-29;12331
8;47841;false;Director Salada;connecting Architect synthesize;Crianças;2022-08-29;52500
9;54310;true;Madeira;Secured Avon cinza;de;2022-08-30;32467
10;65907;false;program;Configurable Fresco;Technician scale bypassing;2022-08-29;17165
